,Date,FB,TWTR,NFLX
765,2016-11-21,121.769997,18.6,117.959999
766,2016-11-22,121.470001,18.629999,118.040001
767,2016-11-23,120.839996,18.219999,117.690002
768,2016-11-25,120.379997,18.059999,117.410004
769,2016-11-28,120.410004,18.299999,116.93
770,2016-11-29,120.870003,18.190001,117.510002
771,2016-11-30,118.419998,18.49,117.0
772,2016-12-01,115.099998,18.030001,117.220001
773,2016-12-02,115.400002,17.93,120.809998
774,2016-12-05,117.43,18.23,119.160004
775,2016-12-06,117.309998,18.23,124.57
776,2016-12-07,117.949997,19.48,125.389999
777,2016-12-08,118.910004,19.639999,123.239998
778,2016-12-09,119.68,19.65,122.879997
779,2016-12-12,117.769997,18.93,122.830002
780,2016-12-13,120.309998,19.370001,123.779999
781,2016-12-14,120.209999,18.93,123.440002
782,2016-12-15,120.57,18.790001,125.0
783,2016-12-16,119.870003,18.629999,124.220001
784,2016-12-19,119.239998,18.24,125.449997
785,2016-12-20,119.089996,17.92,125.120003
786,2016-12-21,119.040001,17.08,126.5
787,2016-12-22,117.400002,16.41,125.580002
788,2016-12-23,117.269997,16.5,125.589996
789,2016-12-27,118.010002,16.610001,128.350006
790,2016-12-28,116.919998,16.389999,125.889999
791,2016-12-29,116.349998,16.389999,125.330002
792,2016-12-30,115.050003,16.299999,123.800003
793,2017-01-03,116.860001,16.440001000000002,127.489998
794,2017-01-04,118.690002,16.860001,129.410004
795,2017-01-05,120.669998,17.09,131.809998
796,2017-01-06,123.410004,17.17,131.070007
797,2017-01-09,124.900002,17.5,130.949997
798,2017-01-10,124.349998,17.370001000000002,129.889999
799,2017-01-11,126.089996,17.299999,130.5
800,2017-01-12,126.620003,17.379998999999998,129.179993
801,2017-01-13,128.339996,17.25,133.699997
802,2017-01-17,127.870003,16.959999,132.889999
803,2017-01-18,127.919998,17.110001,133.259995
804,2017-01-19,127.550003,16.790001,138.410004
805,2017-01-20,127.040001,16.58,138.600006
806,2017-01-23,128.929993,16.610001,137.389999
807,2017-01-24,129.369995,16.52,140.110001
808,2017-01-25,131.479996,16.73,139.520004
809,2017-01-26,132.779999,16.809998999999998,138.96000700000002
810,2017-01-27,132.179993,16.57,142.449997
